category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
1,488191152,7985655,424742,872298,4.0,5.0,1.0
2,20406847,349318,24374,42966,1.0,0.0,0.0
10,11503508478,222846587,9311590,17364049,4.0,2.0,3.0
15,36918849,926734,22345,84218,0.0,0.0,0.0
17,226954817,3679664,382370,546768,3.0,1.0,0.0
19,10717623,97076,3843,11610,0.0,0.0,0.0
20,142281935,4392270,175406,533625,4.0,1.0,0.0
22,356606299,9372266,791587,1250735,3.0,1.0,0.0
23,392685843,12473617,447318,1333167,0.0,0.0,0.0
24,2239143169,54024370,6678002,8607492,25.0,3.0,1.0
25,98727625,1969002,263861,650922,4.0,0.0,0.0
26,89539350,3634412,121268,471234,0.0,0.0,0.0
27,29628525,1023585,41826,104910,1.0,0.0,0.0
28,85668222,1804803,93672,282408,2.0,1.0,0.0
29,30552239,2144909,554450,715456,0.0,0.0,0.0
43,1709880,44588,360,4335,0.0,0.0,0.0
